Job Title,Updated Date,Location,Company,Min Salary,Max Salary
Backend C# Developer (m/w/d),2025-03-05T16:56:59Z,Konstanz,combit GmbH,46500,63500
Senior Full Stack Developer (m/w/d),2025-03-05T16:56:06Z,Grünstadt,b4value.net GmbH,44500,50500
IT Solution Architect (m/w/d),2025-03-05T16:54:19Z,Grünstadt,b4value.net GmbH,59500,77500
DevOps Developer (w/m/d),2025-03-05T16:54:09Z,Walldorf,mobisys GmbH,51000,82500
Site Reliability Engineer (m/w/d),2025-03-05T16:53:58Z,Dresden,egocentric Systems GmbH,49000,65500
DevOps Entwickler (m/w/d),2025-03-05T16:52:23Z,Passau,DAP GmbH,51500,66500
DevOps Engineer (m/w/d),2025-03-05T16:52:23Z,Grünstadt,b4value.net GmbH,48000,67000
DevOps Engineer (m/w/d),2025-03-05T16:52:12Z,Karlsruhe,PACE Telematics GmbH,59000,60500
Mitarbeiter technischer Support (m/w/d),2025-03-05T16:49:56Z,Holzgerlingen,solutio GmbH & Co. KG,45000,60500
Mitarbeiter (m/w/d) Anwendungssupport,2025-03-05T16:47:17Z,Velbert,Schulte-Schlagbaum Gruppe,40500,54500
(Senior) Digital Solution Advisor (f/m/d) SAP BTP Data & Analytics (SAP Business Data Cloud),2025-03-05T16:29:13Z,Walldorf,SAP,62500,111000
Manager für Partnerentwicklung (m/w/d),2025-03-05T16:23:54Z,Frankfurt am Main,Sage GmbH,49500,72000
Java Software Developer (m/w/d),2025-03-05T16:23:47Z,Augsburg,Recruitment Circle GmbH,60000,85000
Partner Enablement Program Manager (m/w/d),2025-03-05T16:23:43Z,Frankfurt am Main,Sage GmbH,58500,85500
Service Desk Mitarbeiter (m/w/d) Schwerpunkt Geoinformationssysteme,2025-03-05T16:22:58Z,Memmingen,RIWA GmbH,39000,55500
Network DevOps Expert (f/m/d) - Sovereign Cloud,2025-03-05T16:15:14Z,Sankt Leon-Rot,SAP,55000,84500
Senior DevOps Engineer (Basis) (f/m/d) - Sovereign Cloud,2025-03-05T16:14:10Z,Sankt Leon-Rot,SAP,58000,94000
SAP SuccessFactors Learning Services Senior/Expert (m/f/d),2025-03-05T16:13:17Z,Walldorf,SAP,63000,109000
Business Analyst Payment (m/w/d),2025-03-05T16:07:40Z,Münster,Finanz Informatik GmbH & Co. KG,45000,85000
Systemadministrator und Entwickler für Überwachungswerkzeuge im Client/Server-Umfeld (m/w/d),2025-03-05T16:07:30Z,Hannover,Finanz Informatik GmbH & Co. KG,45000,85000
Entwickler mit Schwerpunkt Bauspargeschäft (m/w/d),2025-03-05T16:07:20Z,Frankfurt am Main,Finanz Informatik GmbH & Co. KG,45000,85000
Testengineer DeviceCloud (m/w/d),2025-03-05T16:07:05Z,Münster,Finanz Informatik GmbH & Co. KG,45000,85000
Java Software Developer (m/w/d),2025-03-05T15:48:32Z,Stuttgart,Recruitment Circle GmbH,60000,85000
User Assistance Developer-Technical Writer (f/m/d),2025-03-05T15:33:37Z,Walldorf,SAP,48500,72000
UI5 Framework Associate Developer (f/m/d),2025-03-05T15:33:26Z,Walldorf,SAP,56500,85500
DevOps Engineer (f/m/d) - Sovereign Cloud,2025-03-05T15:32:34Z,Sankt Leon-Rot,SAP,56000,90000
Senior DevOps Engineer (f/m/d) - Sovereign Cloud,2025-03-05T15:31:20Z,Sankt Leon-Rot,SAP,59000,94000
DevOps Expert (f/m/d) - Sovereign Cloud,2025-03-05T15:30:37Z,Sankt Leon-Rot,SAP,58000,89500
Senior Developer (f/m/d) for SAP Flagship Product S/4HANA Cloud Localization,2025-03-05T15:14:39Z,Sankt Leon-Rot,SAP,57500,85000
Expert Developer for SAP Sustainability Control Tower (f/m/d),2025-03-05T15:14:07Z,Garching bei München,SAP,57000,87500
(Senior) Developer for SAP Sustainability Control Tower (f/m/d),2025-03-05T15:13:24Z,Garching bei München,SAP,56500,89000
Java Backend Developer (m/f/d),2025-03-05T13:44:49Z,Hannover,Recruitment Circle GmbH,60000,75000
Java Backend Developer (m/f/d),2025-03-05T13:36:06Z,Bremen,Recruitment Circle GmbH,60000,75000
Java Backend Developer (m/f/d),2025-03-05T13:22:01Z,Dresden,Recruitment Circle GmbH,60000,75000
(Senior) Project Manager (m/f/d),2025-03-05T13:17:24Z,Dresden,Recruitment Circle GmbH,60000,80000
IT-Systemtechniker (m/w/d) ID:274228 - Hybrid / Remote Work,2025-03-05T12:15:13Z,Schutterwald,DIS AG,40000,59500
Fullstack Developer (Frontend-Focused),2025-03-05T12:07:59Z,Herford,AIFANO GmbH,48500,76000
Senior Fullstack Engineer (f/m/d) - Node.js & Angular,2025-03-05T12:07:39Z,Berlin,SAP Leanix,66500,111000
Backend Developer (Microservices & Architecture),2025-03-05T12:07:37Z,Herford,AIFANO GmbH,47000,73500
Softwareentwickler mit SPS-Kenntnissen (m/w/d),2025-03-05T12:07:35Z,Eislingen/Fils,machinetalk GmbH,47500,67500
1st & 2nd Level IT-Support (m/w/d) Helpdesk,2025-03-05T12:06:58Z,Mannheim,Amadeus Fire AG,40000,45000
IT-Supporter (m/w/d) in der Pharmaindustrie,2025-03-05T12:06:57Z,Köln,Amadeus Fire AG,55000,65000
Software Test Engineer (m/w/d),2025-03-05T10:09:51Z,Berlin,FindYou Consulting GmbH,76000,92000
Scrum Master / Agile Coach (m/w/d) - Konstanz mit remote Anteil,2025-03-05T09:26:24Z,Konstanz,SEITENBAU GmbH,59000,85000
IT-Administrator (m/w/d),2025-03-05T04:07:29Z,Dresden,tracetronic GmbH,38500,47500
Software Engineer Java (all genders),2025-03-05T02:32:16Z,Karlsruhe,DYMATRIX GmbH,49500,72000
CTO / Co-Founder im Start-Up mit Unternehmensanteilen (m/w/d),2025-03-05T01:12:42Z,Köln,MindElevate,50500,85500
